Z,dT,Fitness,Fitness_cmp,Precision,Precision_cmp,Generality,Generality_cmp,Simplicity,RISK_AT_1,RISK_AT_5,RISK_AT_0.9,RISK_A_1,RISK_A_5,RISK_A_0.9
0,base,0.9998661701396945,0.9998661701396945,0.44684304496023375,0.44684304496023375,0.8425936571217436,0.8425936571217436,0.6571428571428571,0.014907989750757047,0.24737945492662475,0.24761239226648032,0.0,0.0,0.00023293733985557886
1,259200,0.9998177915293953,0.9998177915293953,0.40729078357757054,0.3324477720082115,0.8221403950993755,0.8221403950993755,0.65,0.01840204984859073,0.25250407640344746,0.25250407640344746,0.0,0.0,0.0004658746797111577
2,259200,0.9997653734075553,0.9997662396457561,0.4577222731439047,0.3162550258472142,0.8092724730799172,0.7956515724368134,0.6385542168674699,0.014442115071045888,0.24248777078965758,0.24248777078965758,0.00023293733985557886,0.0004658746797111577,0.0004658746797111577
3,259200,0.9997627076707811,0.9957675178289762,0.47678265830005706,0.315765247410817,0.8581832930133335,0.8269011649019213,0.631578947368421,0.012823501981813942,0.23525297272091397,0.23525297272091397,0.0,0.00023315458148752622,0.00023315458148752622
4,259200,0.9997572423369364,0.9957643183716042,0.45694127412326213,0.2877215057145853,0.8575322865805954,0.8276670909963965,0.631578947368421,0.013311536665109761,0.23003269500233536,0.23003269500233536,0.0,0.0,0.0
5,259200,0.999794036167249,0.9951348251336574,0.5179248745870549,0.3401537698412699,0.8429285053097417,0.8166134246729884,0.6363636363636362,0.009813084112149532,0.22289719626168225,0.22289719626168225,0.0,0.0,0.0
6,259200,0.9997647540820233,0.9951061483319548,0.5721800831906043,0.3401537698412699,0.7995199543360385,0.7913619008780314,0.6338028169014084,0.011238585811285413,0.2221962069772887,0.2221962069772887,0.0,0.00023413720440177945,0.00023413720440177945
7,259200,0.9997516222049748,0.9950944159935238,0.5454639281659615,0.2879790026246719,0.8008645854033158,0.7961011165088325,0.6216216216216216,0.011238585811285413,0.21657691407164598,0.21657691407164598,0.0,0.00023413720440177945,0.00023413720440177945
8,259200,0.9997518221870965,0.99509434933251,0.5452199050175511,0.2879790026246719,0.8305173930943791,0.8256228946224912,0.6338028169014084,0.013579957855303207,0.21306485600561928,0.21306485600561928,0.0,0.00023413720440177945,0.00023413720440177945
9,259200,0.9997572885107007,0.9951006821288222,0.5677651905252317,0.28838043019822857,0.7965678935578178,0.7637171666339123,0.6216216216216216,0.013130128956623681,0.2114888628370457,0.2114888628370457,0.0,0.00023446658851113716,0.0004689331770222743
10,259200,0.9997753540906154,0.9951271465513057,0.9030829500936808,0.4787327148608437,0.8349712063145489,0.7875482840064485,0.6507936507936508,0.015518457559369857,0.21020456148600988,0.21020456148600988,0.0,0.00023512814483893723,0.00047025628967787447
11,259200,0.9998014852079482,0.9871544892993074,0.9043000914913083,0.43937666286583044,0.8521048260849753,0.7776810984781196,0.6603773584905661,0.013647058823529411,0.20047058823529412,0.20047058823529412,0.0,0.00023529411764705883,0.00023529411764705883
12,259200,0.999800018798233,0.9871544892993074,0.902701715954728,0.43937666286583044,0.8474875404619282,0.7776810984781196,0.6603773584905661,0.013430725730442978,0.1950989632422243,0.1950989632422243,0.0,0.000235626767200754,0.000235626767200754
13,259200,0.9997528899938513,0.9871068933354451,0.6191741125332045,0.2892892892892893,0.8419867858566132,0.7944104230631694,0.6231884057971013,0.013924946896388955,0.18928487137125324,0.18928487137125324,0.0,0.0,0.0002360160490913382
14,259200,0.9997925533726776,0.9871544892993074,0.9058312205722564,0.43937666286583044,0.8514552036892047,0.7776810984781196,0.6603773584905661,0.013468809073724008,0.17698487712665406,0.17698487712665406,0.0,0.0,0.00023629489603024575
15,259200,0.9997884207770797,0.9871544892993074,0.8726847689264521,0.43937666286583044,0.832877178945485,0.7776810984781196,0.6603773584905661,0.013036264517658214,0.17326380658923915,0.17326380658923915,0.0,0.00023702299123014932,0.00023702299123014932
16,259200,0.9997832216778322,0.9871544892993074,0.8702085933321447,0.43937666286583044,0.8334940312389882,0.7776810984781196,0.6603773584905661,0.010931558935361217,0.1651615969581749,0.1651615969581749,0.0,0.0002376425855513308,0.0002376425855513308
17,259200,0.999778089168425,0.9871544892993074,0.8109691160809371,0.43937666286583044,0.8085227404925298,0.7776810984781196,0.6603773584905661,0.010272336359292882,0.15838509316770186,0.15838509316770186,0.0,0.0,0.00023889154323936931
18,259200,0.9997238284456701,0.9871068933354451,0.568077331132854,0.2892892892892893,0.8226016004284071,0.7944104230631694,0.6231884057971013,0.007686764352630314,0.15469613259668508,0.15469613259668508,0.0,0.0,0.00024021138601969732
19,259200,0.9998204794963986,0.9812073290789961,0.8190726159230096,0.43830921553693836,0.8355250764927047,0.7565964404851959,0.6363636363636362,0.008664259927797834,0.15042117930204574,0.15042117930204574,0.0,0.00024067388688327315,0.00024067388688327315
20,259200,0.9998188797073277,0.9812073290789961,0.8201012039783633,0.43830921553693836,0.8649912236038777,0.7565964404851959,0.6363636363636362,0.007040543821315854,0.14275309541150766,0.14275309541150766,0.0,0.00048555474629764507,0.00048555474629764507
21,259200,0.9998130137621871,0.9812073290789961,0.8233657858136301,0.43830921553693836,0.8708176173401174,0.7565964404851959,0.6363636363636362,0.007049100631988332,0.13952357802625182,0.13952357802625182,0.0,0.0004861448711716091,0.0004861448711716091
22,259200,0.9998015485214865,0.9812073290789961,0.829637270070483,0.43830921553693836,0.8694292203733912,0.7565964404851959,0.6363636363636362,0.00583941605839416,0.13090024330900243,0.13090024330900243,0.0,0.00024330900243309004,0.00048661800486618007
23,259200,0.9997978156625467,0.9812073290789961,0.8007525226611938,0.43830921553693836,0.8719543709687585,0.7565964404851959,0.6363636363636362,0.005660841742554762,0.11666256460743293,0.11666256460743293,0.0,0.0004922471080482402,0.0004922471080482402
24,259200,0.9997924163852666,0.9812073290789961,0.8030999829671266,0.43830921553693836,0.8745360252860441,0.7565964404851959,0.6363636363636362,0.004946821667078902,0.10165718525847144,0.10165718525847144,0.0,0.0002473410833539451,0.0004946821667078902
25,259200,0.999791749882276,0.9812073290789961,0.8053428620044241,0.43830921553693836,0.8866749477070304,0.7565964404851959,0.6363636363636362,0.00522128294380905,0.09025360517155644,0.09025360517155644,0.0,0.0002486325211337643,0.0004972650422675286
26,259200,0.9997892835520781,0.9812073290789961,0.8046795523906409,0.43830921553693836,0.8858018248919443,0.7565964404851959,0.6363636363636362,0.005234297108673978,0.07901296111665004,0.07901296111665004,0.0,0.0004985044865403788,0.0004985044865403788
27,259200,0.9998606284782476,0.981265314502217,0.8959700093720713,0.43830921553693836,0.9095599290356264,0.8430683026229253,0.6774193548387096,0.004256384576865298,0.07436154231347021,0.07436154231347021,0.0,0.000500751126690035,0.000500751126690035
28,259200,0.9998923509590696,0.9792849421825373,0.7520830058166955,0.3649334178820546,0.9056160175100053,0.8377386199222532,0.625,0.004765487835465262,0.07047905693503888,0.07047905693503888,0.0,0.0005016302984700275,0.0005016302984700275
29,259200,0.999883686517501,0.9792849421825373,0.8055467511885895,0.3649334178820546,0.904959764594056,0.8377386199222532,0.625,0.004039383993940924,0.06033829840949255,0.06033829840949255,0.0,0.0007573844988639232,0.0007573844988639232
30,259200,0.9997862848467024,0.9792209747075632,0.6130429244682206,0.33189158016147635,0.813838336288995,0.7019380365428183,0.6000000000000001,0.004376930998970134,0.05638516992790937,0.05638516992790937,0.0,0.00025746652935118434,0.00025746652935118434
31,259200,0.9997848850518243,0.9732207139223062,0.7258875274897896,0.4212259835315645,0.8348779600110461,0.7014131524190572,0.6190476190476191,0.005155968032998196,0.051559680329981955,0.051559680329981955,0.0,0.0,0.0
32,259200,0.9997860182312467,0.9732207139223062,0.7253144654088051,0.4212259835315645,0.840518226410572,0.7014131524190572,0.6190476190476191,0.0036222509702457956,0.050970245795601554,0.050970245795601554,0.0,0.0,0.0
33,259200,0.9997870847502686,0.9732207139223062,0.7971265362644971,0.4555709479517118,0.8984980616714278,0.7481740292469945,0.641025641025641,0.003401360544217687,0.05075876504447933,0.05075876504447933,0.0,0.0,0.0
34,259200,0.9997210357632151,0.9791680998784636,0.8033269797262172,0.4566462571597867,0.8580361717172,0.7732512641314262,0.6666666666666666,0.0029177718832891246,0.04350132625994695,0.04350132625994695,0.0,0.0,0.0
35,259200,0.9997221022931527,0.9791680998784636,0.8023879563938398,0.4566462571597867,0.8603015392895373,0.7732512641314262,0.6666666666666666,0.003215434083601286,0.03751339764201501,0.03751339764201501,0.0,0.0002679528403001072,0.0002679528403001072
36,259200,0.9998495651252368,0.9785874263104148,0.9254060557449368,0.4555709479517118,0.8642355631507855,0.8435907797338738,0.6969696969696969,0.002727768685215494,0.03737043098745226,0.03737043098745226,0.0,0.00027277686852154935,0.00027277686852154935
37,259200,0.9998495651252368,0.9785874263104148,0.9254060557449368,0.4555709479517118,0.8642355631507855,0.8435907797338738,0.6969696969696969,0.0024563318777292577,0.035207423580786025,0.035207423580786025,0.0,0.0002729257641921397,0.0002729257641921397
38,259200,0.9998598953881122,0.9785874263104148,0.9211484027496968,0.4555709479517118,0.8625092180359044,0.8435907797338738,0.6969696969696969,0.0019624334174376226,0.033081020465377066,0.033081020465377066,0.0,0.000560695262125035,0.000560695262125035
39,259200,0.9999210125326782,0.9726402268116885,0.9176710929519918,0.45449137418203456,0.9275500104467738,0.8340885613695119,0.6666666666666666,0.002004581901489118,0.033218785796105384,0.033218785796105384,0.0,0.000286368843069874,0.000286368843069874
40,259200,0.9999198794218627,0.9726402268116885,0.9218073034866928,0.45449137418203456,0.9191439941084888,0.8340885613695119,0.6666666666666666,0.0011590843233845263,0.023761228629382788,0.023761228629382788,0.0,0.0002897710808461316,0.0002897710808461316
41,259200,0.99992361185544,0.9726402268116885,0.9194756554307116,0.45449137418203456,0.9151565709409322,0.8340885613695119,0.6666666666666666,0.0011837821840781297,0.021308079313406333,0.021308079313406333,0.0,0.0002959455460195324,0.0002959455460195324
42,259200,0.99992361185544,0.9726402268116885,0.9194756554307116,0.45449137418203456,0.9151565709409322,0.8340885613695119,0.6666666666666666,0.0023710729104919974,0.017486662714878483,0.017486662714878483,0.0,0.0002963841138114997,0.0002963841138114997
43,259200,0.9999224787806492,0.9726402268116885,0.8141414141414142,0.42016498625114573,0.8296177473510338,0.7582623285177381,0.6296296296296295,0.0017788319003854136,0.01660243107026386,0.01660243107026386,0.0,0.0002964719833975689,0.0002964719833975689
44,259200,0.9999283440721684,0.9726402268116885,0.9175279476903607,0.45449137418203456,0.8970301758937294,0.8340885613695119,0.6666666666666666,0.001503307276007216,0.01683704149128082,0.01683704149128082,0.0,0.0003006614552014432,0.0003006614552014432
45,259200,0.9999288106309457,0.9726402268116885,0.9159273341782848,0.45449137418203456,0.892700000307672,0.8340885613695119,0.6666666666666666,0.0015229972586049345,0.01675296984465428,0.01675296984465428,0.0,0.0003045994517209869,0.0003045994517209869
46,259200,0.9998551604666059,0.852615763638739,0.9245665390677775,0.40901455767077266,0.7898848891763197,0.7144716534028452,0.6774193548387096,0.0024509803921568627,0.015012254901960785,0.015012254901960785,0.0,0.00030637254901960784,0.00030637254901960784
47,259200,0.999855227120786,0.852615763638739,0.9995131450827653,0.4340463458110517,0.8557144651593432,0.7740109578530824,0.7142857142857143,0.001838235294117647,0.013786764705882353,0.013786764705882353,0.0,0.00030637254901960784,0.00030637254901960784
48,259200,0.9998548938982451,0.852615763638739,0.9995136186770428,0.4340463458110517,0.855747693844869,0.7740109578530824,0.7142857142857143,0.001226993865030675,0.013496932515337423,0.013496932515337423,0.0,0.00030674846625766873,0.00030674846625766873
49,259200,0.9998444974043464,0.852615763638739,0.9995285242809995,0.4340463458110517,0.8565995317481377,0.7740109578530824,0.7142857142857143,0.0006140620202640467,0.01289530242554498,0.01289530242554498,0.0,0.00030703101013202335,0.00030703101013202335
