Z,dT,Fitness,Fitness_cmp,Precision,Precision_cmp,Generality,Generality_cmp,Simplicity,RISK_AT_0.3,RISK_AT_0.6,RISK_AT_0.9,RISK_A_0.3,RISK_A_0.6,RISK_A_0.9
0,base,1.0,1.0,0.06910480752274994,0.06910480752274994,0.7951064892292475,0.7951064892292475,0.5909090909090908,0.91701244813278,1.0,1.0,0.0,0.0,0.0
2,3600,0.9860558652474822,0.97514166606348,0.10435003654157793,0.0701275932599591,0.8158914617492392,0.8828148197324595,0.6212121212121212,0.8755186721991701,1.0,1.0,0.0,0.0,0.0
2,86400,1.0,0.9882715671212503,0.08075930849749435,0.07024971511734601,0.829404736135926,0.8792578826277182,0.6271186440677966,0.8962655601659751,1.0,1.0,0.0,0.0,0.0
2,259200,0.9918592743595873,0.9918839245716232,0.13562079555425566,0.11356416772554001,0.8728635813625247,0.9220493997104636,0.6236162361623616,0.8755186721991701,1.0,1.0,0.0,0.0,0.004149377593360996
2,0,0.9922034755574125,0.9920074637269642,0.08356187574064666,0.07528718182278227,0.8602408069371245,0.8813996357752365,0.6059479553903346,0.8796680497925311,1.0,1.0,0.0,0.0,0.0
3,3600,0.9870413206614723,0.9792124097309741,0.12437301668543355,0.09261628912329245,0.8916640316684624,0.877138474918152,0.625,0.9004149377593361,1.0,1.0,0.0,0.0,0.0
3,86400,0.9874738342065097,0.9741860035618816,0.11033217972609222,0.08854405778471519,0.8634414895990122,0.8953519114443681,0.6177777777777778,0.8506224066390041,1.0,1.0,0.0,0.0,0.0
3,259200,0.9996825131757914,0.9957559758143351,0.09122218905701096,0.08499555893922095,0.8840323121236977,0.9173801864665931,0.630188679245283,0.9045643153526971,1.0,1.0,0.0,0.0,0.008298755186721992
3,0,0.985274479964898,0.9802197604591215,0.13300573077603695,0.1131216665270448,0.9171615639196438,0.9258705525840878,0.6347826086956522,0.921161825726141,1.0,1.0,0.0,0.004149377593360996,0.0
4,3600,0.9869612725990633,0.9878040085182664,0.14438292964244526,0.12236575308135689,0.866199420865652,0.8634796721786361,0.6338028169014084,0.8381742738589212,1.0,1.0,0.0,0.004149377593360996,0.0
4,86400,0.9792821013488962,0.9835413893887947,0.08744286347429764,0.08571519308943087,0.8601596418544468,0.913340104395542,0.6317689530685922,0.8962655601659751,1.0,1.0,0.0,0.0,0.0
4,259200,0.9794226822976242,0.9835848598424404,0.09406766590485272,0.09247123926023004,0.8693730047025777,0.9288663943233316,0.6329588014981274,0.8589211618257261,1.0,1.0,0.0,0.0,0.004149377593360996
4,0,1.0,0.9992719705376953,0.10449846173915878,0.09447797272634284,0.8792901938103072,0.8871825297901306,0.6261682242990655,0.9377593360995851,1.0,1.0,0.0,0.0,0.0
5,3600,1.0,0.9933673165709698,0.10945117895181677,0.10402035736509907,0.8325719471198092,0.8613111713025476,0.6318407960199005,0.8672199170124482,1.0,1.0,0.0,0.0,0.0
5,86400,1.0,0.9807407323819735,0.1267741846349394,0.11627661956249757,0.8524918226211081,0.8857817163094689,0.6405529953917051,0.8838174273858921,1.0,1.0,0.0,0.0,0.004149377593360996
5,259200,1.0,0.9864313961078626,0.11908266080121621,0.11384655932528276,0.8643071336959258,0.8895265425525163,0.6288659793814432,0.8713692946058091,1.0,1.0,0.0,0.0,0.0
5,0,1.0,0.999048290805145,0.09609481228142047,0.08570387202223329,0.9104984791577877,0.9271941102902044,0.6190476190476191,0.9004149377593361,1.0,1.0,0.0,0.0,0.0
15,3600,1.0,0.9961208705554161,0.16880062712307287,0.10849309765346615,0.8081588347712406,0.8272644429143058,0.6446700507614214,0.9087136929460581,1.0,1.0,0.0,0.0,0.0
15,86400,1.0,0.9886799178594038,0.13330831003862142,0.09854976928147663,0.8215056614608462,0.8492351274414083,0.6470588235294118,0.91701244813278,1.0,1.0,0.0,0.0,0.0
15,259200,1.0,0.98454180891675,0.15545853498945184,0.13501541156456853,0.7986669725715596,0.817585690533917,0.6459330143540669,0.8423236514522822,1.0,1.0,0.0,0.0,0.0
15,0,1.0,0.9817485979627687,0.12064944933055011,0.09413816627836635,0.824612434642202,0.8807282560173033,0.6363636363636362,0.9087136929460581,1.0,1.0,0.0,0.0,0.0
30,3600,1.0,0.9672810942084556,0.49379142225946526,0.2735091023226617,0.855645858681661,0.8028337101318741,0.6541353383458647,0.8381742738589212,1.0,1.0,0.0,0.0,0.0
30,86400,1.0,0.9915280667919567,0.19586615708603072,0.1313225841093537,0.8926448352775057,0.8819472886396819,0.6642335766423357,0.9336099585062241,1.0,1.0,0.0,0.0,0.0
30,259200,1.0,0.9897841822192082,0.2670544925691951,0.18950587027052257,0.9135025305570105,0.8725669536886193,0.6639999999999999,0.8838174273858921,1.0,1.0,0.0,0.0,0.0
30,0,1.0,0.9945568571636949,0.19674732249107496,0.14549137501406684,0.8905779841092221,0.8996246140977272,0.6690647482014388,0.9004149377593361,1.0,1.0,0.0,0.0,0.0
45,3600,1.0,0.964581163669435,0.5236726411903957,0.25587512150494596,0.879718048109647,0.8439011326929293,0.6576576576576577,0.9087136929460581,1.0,1.0,0.0,0.0,0.0
45,86400,1.0,0.9925638774593702,0.19288258491286092,0.1313225841093537,0.8999945742329805,0.8860375141509367,0.6666666666666666,0.9045643153526971,1.0,1.0,0.0,0.0,0.0
45,259200,1.0,0.9897841822192082,0.2670790057182868,0.18950587027052257,0.9097250160158185,0.8725669536886193,0.6639999999999999,0.921161825726141,1.0,1.0,0.0,0.0,0.0
45,0,1.0,0.9952058693844652,0.1985459935973254,0.14954991183840138,0.905162527416,0.9143267033634942,0.6666666666666666,0.8962655601659751,1.0,1.0,0.0,0.0,0.0
60,3600,1.0,0.9440524019803991,0.41729611384783794,0.2582552149311713,0.9123171445030189,0.8731008126477519,0.6901408450704225,0.95,1.0,1.0,0.0,0.0,0.0
60,86400,1.0,0.9921718200024859,0.24019564052170805,0.150548263679133,0.9276635763970008,0.916261578592062,0.6880733944954129,0.9626556016597511,1.0,1.0,0.0,0.0,0.0
60,259200,1.0,0.9863619771442791,0.25042666160993643,0.17303199351547227,0.9045747653049769,0.854183033867308,0.65625,0.9336099585062241,1.0,1.0,0.0,0.0,0.0
60,0,1.0,0.9952058693844652,0.20114410153901163,0.14954991183840138,0.904270844210249,0.9143267033634942,0.6666666666666666,0.8630705394190872,1.0,1.0,0.0,0.0,0.0
